PdId,IncidntNum,Incident Code,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,location,data_loaded_at
16054189526030,160541895,26030,ARSON,ARSON,Monday,07/04/2016,18:00,INGLESIDE,NONE,400 Block of CAYUGA AV,-122.43488456212856,37.72955746992407,POINT (-122.434884562 37.72955747),2025/06/20 12:17:56 PM
16054117406243,160541174,06243,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,07/04/2016,16:30,NORTHERN,NONE,1800 Block of GEARY BL,-122.4333124276257,37.78453013857093,POINT (-122.433312428 37.784530139),2025/06/20 12:17:56 PM
16054140330190,160541403,30190,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Monday,07/04/2016,18:10,CENTRAL,"ARREST, BOOKED",BEACH ST / LARKIN ST,-122.42219944482974,37.806435110351494,POINT (-122.422199445 37.80643511),2025/06/20 12:17:56 PM
16054736006154,160547360,06154,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,07/04/2016,21:30,CENTRAL,NONE,300 Block of BATTERY ST,-122.4002160387898,37.794803032518196,POINT (-122.400216039 37.794803033),2025/06/20 12:17:56 PM
16054147565016,160541475,65016,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,07/04/2016,18:50,TENDERLOIN,"ARREST, BOOKED",500 Block of ELLIS ST,-122.41543603190489,37.78458513471396,POINT (-122.415436032 37.784585135),2025/06/20 12:17:56 PM
16054050206154,160540502,06154,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,07/04/2016,10:30,TENDERLOIN,NONE,0 Block of POWELL ST,-122.40784537411074,37.78509432101032,POINT (-122.407845374 37.785094321),2025/06/20 12:17:56 PM
16054099406243,160540994,06243,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,07/04/2016,13:00,NORTHERN,NONE,1100 Block of SUTTER ST,-122.41931732406994,37.78791369791058,POINT (-122.419317324 37.787913698),2025/06/20 12:17:56 PM
16054125904138,160541259,04138,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Monday,07/04/2016,16:22,TARAVAL,"ARREST, BOOKED",2800 Block of GREAT HY,-122.50657456118873,37.72975098885121,POINT (-122.506574561 37.729750989),2025/06/20 12:17:56 PM
16054559628160,160545596,28160,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,07/04/2016,16:30,MISSION,NONE,0 Block of SHOTWELL ST,-122.416696931762,37.76766710632956,POINT (-122.416696932 37.767667106),2025/06/20 12:17:56 PM
16054055227195,160540552,27195,TRESPASS,TRESPASSING,Monday,07/04/2016,11:30,PARK,"ARREST, BOOKED",1300 Block of HAIGHT ST,-122.44450233369258,37.770261970240284,POINT (-122.444502334 37.77026197),2025/06/20 12:17:56 PM
16054006362020,160540063,62020,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Monday,07/04/2016,02:37,CENTRAL,"ARREST, BOOKED",400 Block of BROADWAY ST,-122.40428249774496,37.79822493454871,POINT (-122.404282498 37.798224935),2025/06/20 12:17:56 PM
16054196416010,160541964,16010,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,07/04/2016,22:00,SOUTHERN,"ARREST, BOOKED",100 Block of THE EMBARCADEROSOUTH ST,-122.3938439729001,37.7953080071145,POINT (-122.393843973 37.795308007),2025/06/20 12:17:56 PM
